src_run_id,filter
mrl9pv8m,crop_256_240_0.330826_-9.11654_272.459_256.929_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z1qe6l7y,crop_256_240_620.286_-0.285714_1300.29_1079.57_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
m3qp694y,crop_256_240_472.657_-51.6119_1649.39_1546.06_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
mk01g0lz,crop_256_240_681.478_-38.806_1239.34_1157.99_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
y2749g9z,crop_256_240_545.968_-14.4992_1335.03_1087.43_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z5eq9gnz,crop_256_240_463_-26.6926_819.744_767.596_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
yopwdw7m,crop_256_240_357.284_-7.66192_885.507_721.267_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
ydgp33xy,crop_256_240_389_-6_850_723_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
m7w2nq5z,crop_256_240_88.7815_-3.53269_1283.87_955.507_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z0jgrx8y,crop_256_240_672.463_0.407109_1152.06_1081.08_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z5vnr0jm,crop_256_240_442_14_817_685_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
m76k450y,crop_256_240_570.772_-29.9886_1348.11_1110.27_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
yvp92jxy,crop_256_240_728.231_-38.011_1193.3_1118.05_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
yl1el5rm,crop_256_240_135.699_22.572_341.915_320.705_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
y4q61pdm,crop_256_240_479.915_91.2979_960.447_900.656_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z0jv2ney,crop_256_240_0_-2_731_545_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
yj2qo13m,crop_256_240_0.151985_-1.36778_1151.42_1081.51_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
zx7dlnqy,crop_256_240_457_-26_823_772_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
y48835nm,crop_256_240_512.593_-3.94186_1341.66_1080.03_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
ywk5owny,crop_256_240_1220.79_-46.1949_2417.51_2147.77_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
y86kodnm,crop_256_240_285.082_-19.3497_546.852_516.188_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z1qe3n9y,crop_256_240_-0.0567572_-26.1635_819.118_766.905_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
ydjv83vy,crop_256_240_0_-17.3295_596.127_497.054_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z0j43x8y,crop_256_240_12.0472_-40.2006_1234.94_1159.02_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
zqel81xz,crop_256_240_574.644_-12.452_1346.05_1094.4_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
zq942q8y,crop_256_240_367_-3_879_720_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
ywvnnkpz,crop_256_240_0.251984_-38.8357_1237.04_1159.11_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
y93wwkey,crop_256_240_464.818_-7.44681_1455.79_1087.63_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
yjp1w7gy,perspective_256_240_0_0_1920_1080_18.0738_679.984_815.83_34.0628_1449.35_1027.49_1923.33_247.983_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
y4gq4e3y,crop_256_240_0_20_746_700_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
zpdpo6gz,crop_256_240_640.458_-59.989_1280_1200.38_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
zge8prvy,crop_256_240_590.091_-39.034_1235.25_1157.87_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
znjj8x9m,crop_256_240_671.557_161.587_1164.18_865.754_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
yvow4voz,crop_256_240_686.27_-39.4306_1234.43_1157.51_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
zgqoeeey,crop_256_240_755.159_-36.6014_1161.45_1088.72_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
z5x3qldy,crop_256_240_137.442_20.0572_735.282_681.943_0_0_256_0_0_240_256_240_0_0_85.3333_0_170.667_0_256_0_0_80_85.3333_80_170.667_80_256_80_0_160_85.3333_160_170.667_160_256_160_0_240_85.3333_240_170.667_240_256_240
